,Predict,Low,Up
2022-06-01,419.775844204267,416.70266035203366,422.84902805650034
2022-07-01,418.088620005721,414.9765117075388,421.2007283039032
2022-08-01,415.9916495746503,412.84111025415814,419.14218889514245
2022-09-01,414.54367177566263,411.3551706761685,417.7321728751568
2022-10-01,414.81350284657685,411.58748957947216,418.03951611368154
2022-11-01,416.3445664705929,413.08147365990374,419.60765928128205
2022-12-01,417.77462776623696,414.46194290977826,421.08731262269566
2023-01-01,418.9758384529187,415.61903708193535,422.33263982390207
2023-02-01,419.7211705440623,416.321351257491,423.1209898306336
2023-03-01,420.62495075554966,417.18316583619577,424.06673567490355
2023-04-01,422.17861595870164,418.69557802912266,425.6616538882806
2023-05-01,422.7806240175426,419.25692214178986,426.30432589329536
2023-06-01,422.00246105968415,418.43860946525064,425.56631265411767
2023-07-01,420.3158642448228,416.71233469165753,423.9193937979881
2023-08-01,418.2196735589909,414.5769100015592,421.8624371164226
2023-09-01,416.77223418142205,413.0906604165948,420.4538079462493
2023-10-01,417.04196491735314,413.3219885884244,420.7619412462819
2023-11-01,418.57245922501,414.81447408082926,422.33044436919073
2023-12-01,420.0019887613741,416.1942335276602,423.809743995088
2024-01-01,421.2027527854325,417.35031839314524,425.05518717771974
2024-02-01,421.9478077295354,418.0517016712022,425.8439137878686
2024-03-01,422.85125187604706,418.91244352389447,426.79006022819965
2024-04-01,424.4043393585851,420.42348224376525,428.38519647340496
2024-05-01,425.0061235645235,420.9837575876155,429.02848954143144
2024-06-01,424.2282499616566,420.1648467254707,428.29165319784255
2024-07-01,422.54228029719127,418.4382732989891,426.64628729539345
2024-08-01,420.44686906665487,416.30266730601653,424.5910708272932
2024-09-01,418.9999679102962,414.8159629343863,423.18397288620616
2024-10-01,419.2695983485531,415.04616788717385,423.4930288099323
2024-11-01,420.7995235515474,416.53703352323924,425.06201357985555
2024-12-01,422.22852152636284,417.9158176125873,426.54122544013836
2025-01-01,423.42883905388663,419.0707098851951,427.7869682225782
2025-02-01,424.1736169540042,419.7710012082708,428.57623269973766
2025-03-01,425.0767251605039,420.63052914022927,429.5229211807785
2025-04-01,426.62923513724974,422.14006796288146,431.118402311618
2025-05-01,427.23079557352384,422.69916032209966,431.762430824948
2025-06-01,426.45321121805375,421.87954760156146,431.02687483454605
2025-07-01,424.7678684707825,420.1525813194219,429.3831556221431
2025-08-01,422.67323640570606,418.0167084621953,427.3297643492168
2025-09-01,421.2268732704234,416.5294717798251,425.92427476102176
2025-10-01,421.4964034483012,416.75848352224943,426.2343233743529
2025-11-01,423.025759758251,418.24766620061587,427.80385331588616
2025-12-01,424.4542263691757,419.625311483911,429.28314125444035
2026-01-01,425.6540975661917,420.7789030730191,430.5292920593643
2026-02-01,426.398598525341,421.47800865278316,431.31918839789887
2026-03-01,427.30137091674584,422.33624177515475,432.26650005833693
2026-04-01,428.8533036024414,423.8442093382161,433.86239786666664
2026-05-01,429.45464035225854,424.4020551380219,434.50722556649515
2026-06-01,428.6773451366304,423.5816836841017,433.7730065891591
2026-07-01,426.99262907343797,421.85427371905234,432.1309844278236
2026-08-01,424.8987758840937,419.71808872623666,430.07946304195076
2026-09-01,423.4529505698274,418.23027969670324,428.6756214429516
2026-10-01,423.72238052460716,418.45806316835456,428.98669788085977
2026-11-01,425.25116815305176,419.94553237898936,430.5568039271142
2026-12-01,426.6791035976699,421.321934955271,432.0362722400688
2027-01-01,427.8785286301434,422.47416137962506,433.2828958806618
2027-02-01,428.6227527513032,423.172026524676,434.0734789779304
2027-03-01,429.5251894524839,424.0289190498835,435.02145985508434
2027-04-01,431.07654506179114,425.53527610087025,436.617814022712
2027-05-01,431.6776582083277,426.09184135252787,437.2634750641276
2027-06-01,430.90065202502666,425.2706816769587,436.5306223730946
2027-07-01,429.2165624128846,423.54280262271726,434.890322203052
2027-08-01,427.12348780965254,421.4062838641016,432.84069175520347
2027-09-01,425.67820011641714,419.917884468402,431.4385157644323
2027-10-01,425.9475298853663,420.14442513845285,431.75063463227974
2027-11-01,427.47574904376626,421.63016953374324,433.3213285537893
2027-12-01,428.9031535195887,423.0052622435436,434.80104479563386
2028-01-01,430.1021325534232,424.15608565723335,436.04817944961303
2028-02-01,430.8460799395339,424.85267954999534,436.8394803290725
2028-03-01,431.74818107531485,425.7082071042606,437.78815504636907
2028-04-01,433.298959822816,427.2129339750629,439.3849856705691
